run,tag,step,value
model_602,Episode_Reward/ang_vel_x_l2,560,-0.001921346876770258
model_602,Episode_Reward/ang_vel_x_l2,561,-0.0018260374199599028
model_602,Episode_Reward/ang_vel_x_l2,562,-0.0016749190399423242
model_602,Episode_Reward/ang_vel_x_l2,563,-0.0017323505599051714
model_602,Episode_Reward/ang_vel_x_l2,564,-0.0016863421769812703
model_602,Episode_Reward/ang_vel_x_l2,565,-0.0016547627747058868
model_602,Episode_Reward/ang_vel_x_l2,566,-0.001734684919938445
model_602,Episode_Reward/ang_vel_x_l2,567,-0.0016906000673770905
model_602,Episode_Reward/ang_vel_x_l2,568,-0.0016514193266630173
model_602,Episode_Reward/ang_vel_x_l2,569,-0.0015658901538699865
model_602,Episode_Reward/ang_vel_x_l2,570,-0.0018070775549858809
model_602,Episode_Reward/ang_vel_x_l2,571,-0.0016494292067363858
model_602,Episode_Reward/ang_vel_x_l2,572,-0.0017562684370204806
model_602,Episode_Reward/ang_vel_x_l2,573,-0.0017201303271576762
model_602,Episode_Reward/ang_vel_x_l2,574,-0.0018825047882273793
model_602,Episode_Reward/ang_vel_x_l2,575,-0.0020690851379185915
model_602,Episode_Reward/ang_vel_x_l2,576,-0.002389364643022418
model_602,Episode_Reward/ang_vel_x_l2,577,-0.0024051922373473644
model_602,Episode_Reward/ang_vel_x_l2,578,-0.0021632323041558266
model_602,Episode_Reward/ang_vel_x_l2,579,-0.0021923696622252464
model_602,Episode_Reward/ang_vel_x_l2,580,-0.0020328443497419357
model_602,Episode_Reward/ang_vel_x_l2,581,-0.001923063420690596
model_602,Episode_Reward/ang_vel_x_l2,582,-0.002144433092325926
model_602,Episode_Reward/ang_vel_x_l2,583,-0.001918861991725862
model_602,Episode_Reward/ang_vel_x_l2,584,-0.0017418178031221032
model_602,Episode_Reward/ang_vel_x_l2,585,-0.0018370584584772587
model_602,Episode_Reward/ang_vel_x_l2,586,-0.001749919611029327
model_602,Episode_Reward/ang_vel_x_l2,587,-0.0018783040577545762
model_602,Episode_Reward/ang_vel_x_l2,588,-0.0016942548099905252
model_602,Episode_Reward/ang_vel_x_l2,589,-0.0017412053421139717
model_602,Episode_Reward/ang_vel_x_l2,590,-0.0017480897950008512
model_602,Episode_Reward/ang_vel_x_l2,591,-0.0015221885405480862
model_602,Episode_Reward/ang_vel_x_l2,592,-0.0016386979259550571
model_602,Episode_Reward/ang_vel_x_l2,593,-0.0016244789585471153
model_602,Episode_Reward/ang_vel_x_l2,594,-0.0015466753393411636
model_602,Episode_Reward/ang_vel_x_l2,595,-0.0017115173395723104
model_602,Episode_Reward/ang_vel_x_l2,596,-0.0020355363376438618
model_602,Episode_Reward/ang_vel_x_l2,597,-0.0016008493257686496
model_602,Episode_Reward/ang_vel_x_l2,598,-0.0016888598911464214
model_602,Episode_Reward/ang_vel_x_l2,599,-0.0014840365620329976
model_602,Episode_Reward/ang_vel_x_l2,600,-0.0015512790996581316
model_602,Episode_Reward/ang_vel_x_l2,601,-0.0016641424736008048
model_602,Episode_Reward/ang_vel_x_l2,602,-0.0017538530519232154
model_602,Episode_Reward/ang_vel_y_l2,483,-0.030121929943561554
model_602,Episode_Reward/ang_vel_y_l2,484,-0.03086877055466175
model_602,Episode_Reward/ang_vel_y_l2,485,-0.035195931792259216
model_602,Episode_Reward/ang_vel_y_l2,486,-0.030398111790418625
model_602,Episode_Reward/ang_vel_y_l2,487,-0.03722602128982544
model_602,Episode_Reward/ang_vel_y_l2,488,-0.02602592296898365
model_602,Episode_Reward/ang_vel_y_l2,489,-0.03055945411324501
model_602,Episode_Reward/ang_vel_y_l2,490,-0.03712091222405434
model_602,Episode_Reward/ang_vel_y_l2,491,-0.029269490391016006
model_602,Episode_Reward/ang_vel_y_l2,492,-0.02094181440770626
model_602,Episode_Reward/ang_vel_y_l2,493,-0.008763176389038563
model_602,Episode_Reward/ang_vel_y_l2,494,-0.009141407907009125
model_602,Episode_Reward/ang_vel_y_l2,495,-0.009267163462936878
model_602,Episode_Reward/ang_vel_y_l2,496,-0.00922118779271841
model_602,Episode_Reward/ang_vel_y_l2,497,-0.009413858875632286
model_602,Episode_Reward/ang_vel_y_l2,498,-0.00942753255367279
model_602,Episode_Reward/ang_vel_y_l2,499,-0.00911678560078144
model_602,Episode_Reward/ang_vel_y_l2,500,-0.009142414666712284
model_602,Episode_Reward/ang_vel_y_l2,501,-0.00898556038737297
model_602,Episode_Reward/ang_vel_y_l2,502,-0.00937025249004364
model_602,Episode_Reward/ang_vel_y_l2,503,-0.009301855228841305
model_602,Episode_Reward/ang_vel_y_l2,504,-0.009074270725250244
model_602,Episode_Reward/ang_vel_y_l2,505,-0.009197472594678402
model_602,Episode_Reward/ang_vel_y_l2,506,-0.009453645907342434
model_602,Episode_Reward/ang_vel_y_l2,507,-0.009533850476145744
model_602,Episode_Reward/ang_vel_y_l2,508,-0.009329091757535934
model_602,Episode_Reward/ang_vel_y_l2,509,-0.009314628317952156
model_602,Episode_Reward/ang_vel_y_l2,510,-0.009184291586279869
model_602,Episode_Reward/ang_vel_y_l2,511,-0.009359918534755707
model_602,Episode_Reward/ang_vel_y_l2,512,-0.009399696253240108
model_602,Episode_Reward/ang_vel_y_l2,513,-0.009767943061888218
model_602,Episode_Reward/ang_vel_y_l2,514,-0.009823412634432316
model_602,Episode_Reward/ang_vel_y_l2,515,-0.009663635864853859
model_602,Episode_Reward/ang_vel_y_l2,516,-0.009782573208212852
model_602,Episode_Reward/ang_vel_y_l2,517,-0.009551629424095154
model_602,Episode_Reward/ang_vel_y_l2,518,-0.009819680824875832
model_602,Episode_Reward/ang_vel_y_l2,519,-0.009600063785910606
model_602,Episode_Reward/ang_vel_y_l2,520,-0.009830552153289318
model_602,Episode_Reward/ang_vel_y_l2,521,-0.009643168188631535
model_602,Episode_Reward/ang_vel_y_l2,522,-0.009810814633965492
model_602,Episode_Reward/ang_vel_y_l2,523,-0.01004084199666977
model_602,Episode_Reward/ang_vel_y_l2,524,-0.009728305041790009
model_602,Episode_Reward/ang_vel_y_l2,525,-0.00951477512717247
model_602,Episode_Reward/ang_vel_y_l2,526,-0.010086527094244957
model_602,Episode_Reward/ang_vel_y_l2,527,-0.009824641980230808
model_602,Episode_Reward/ang_vel_y_l2,528,-0.00956936739385128
model_602,Episode_Reward/ang_vel_y_l2,529,-0.009564281441271305
model_602,Episode_Reward/ang_vel_y_l2,530,-0.009632185101509094
model_602,Episode_Reward/ang_vel_y_l2,531,-0.009428122080862522
model_602,Episode_Reward/ang_vel_y_l2,532,-0.009805775247514248
model_602,Episode_Reward/ang_vel_y_l2,533,-0.009855488315224648
model_602,Episode_Reward/ang_vel_y_l2,534,-0.009579190984368324
model_602,Episode_Reward/ang_vel_y_l2,535,-0.010155689902603626
model_602,Episode_Reward/ang_vel_y_l2,536,-0.00996849499642849
model_602,Episode_Reward/ang_vel_y_l2,537,-0.010281223803758621
model_602,Episode_Reward/ang_vel_y_l2,538,-0.010203083977103233
model_602,Episode_Reward/ang_vel_y_l2,539,-0.010647375136613846
model_602,Episode_Reward/ang_vel_y_l2,540,-0.010333282873034477
model_602,Episode_Reward/ang_vel_y_l2,541,-0.010967930778861046
model_602,Episode_Reward/ang_vel_y_l2,542,-0.010581552982330322
model_602,Episode_Reward/ang_vel_y_l2,543,-0.010148399509489536
model_602,Episode_Reward/ang_vel_y_l2,544,-0.010067111812531948
model_602,Episode_Reward/ang_vel_y_l2,545,-0.01037178561091423
model_602,Episode_Reward/ang_vel_y_l2,546,-0.010143879801034927
model_602,Episode_Reward/ang_vel_y_l2,547,-0.010207661427557468
model_602,Episode_Reward/ang_vel_y_l2,548,-0.010627380572259426
model_602,Episode_Reward/ang_vel_y_l2,549,-0.011225387454032898
model_602,Episode_Reward/ang_vel_y_l2,550,-0.011492048390209675
model_602,Episode_Reward/ang_vel_y_l2,551,-0.011737286113202572
model_602,Episode_Reward/ang_vel_y_l2,552,-0.012078276835381985
