run,tag,step,value
model_681,Episode_Reward/ang_vel_x_l2,602,-0.0007266696775332093
model_681,Episode_Reward/ang_vel_x_l2,603,-0.001191602903418243
model_681,Episode_Reward/ang_vel_x_l2,604,-0.0014702199259772897
model_681,Episode_Reward/ang_vel_x_l2,605,-0.0013844005297869444
model_681,Episode_Reward/ang_vel_x_l2,606,-0.001477187150157988
model_681,Episode_Reward/ang_vel_x_l2,607,-0.0012602872448042035
model_681,Episode_Reward/ang_vel_x_l2,608,-0.001293878653086722
model_681,Episode_Reward/ang_vel_x_l2,609,-0.001565014012157917
model_681,Episode_Reward/ang_vel_x_l2,610,-0.0015718061476945877
model_681,Episode_Reward/ang_vel_x_l2,611,-0.0011319012846797705
model_681,Episode_Reward/ang_vel_x_l2,612,-0.0008210802916437387
model_681,Episode_Reward/ang_vel_x_l2,613,-0.0008280180627480149
model_681,Episode_Reward/ang_vel_x_l2,614,-0.0009033319656737149
model_681,Episode_Reward/ang_vel_x_l2,615,-0.0008566094329580665
model_681,Episode_Reward/ang_vel_x_l2,616,-0.0009010469657368958
model_681,Episode_Reward/ang_vel_x_l2,617,-0.000929731409996748
model_681,Episode_Reward/ang_vel_x_l2,618,-0.0009429669007658958
model_681,Episode_Reward/ang_vel_x_l2,619,-0.0010009927209466696
model_681,Episode_Reward/ang_vel_x_l2,620,-0.001059019472450018
model_681,Episode_Reward/ang_vel_x_l2,621,-0.0011077695526182652
model_681,Episode_Reward/ang_vel_x_l2,622,-0.0011741896159946918
model_681,Episode_Reward/ang_vel_x_l2,623,-0.0012323500122874975
model_681,Episode_Reward/ang_vel_x_l2,624,-0.0012830146588385105
model_681,Episode_Reward/ang_vel_x_l2,625,-0.001270810840651393
model_681,Episode_Reward/ang_vel_x_l2,626,-0.001232505775988102
model_681,Episode_Reward/ang_vel_x_l2,627,-0.0013182101538404822
model_681,Episode_Reward/ang_vel_x_l2,628,-0.0013479458866640925
model_681,Episode_Reward/ang_vel_x_l2,629,-0.0014826641418039799
model_681,Episode_Reward/ang_vel_x_l2,630,-0.0014478497905656695
model_681,Episode_Reward/ang_vel_x_l2,631,-0.0014582714065909386
model_681,Episode_Reward/ang_vel_x_l2,632,-0.001463870401494205
model_681,Episode_Reward/ang_vel_x_l2,633,-0.001390473684296012
model_681,Episode_Reward/ang_vel_x_l2,634,-0.0014261958422139287
model_681,Episode_Reward/ang_vel_x_l2,635,-0.001366402255371213
model_681,Episode_Reward/ang_vel_x_l2,636,-0.001407207571901381
model_681,Episode_Reward/ang_vel_x_l2,637,-0.0013067559339106083
model_681,Episode_Reward/ang_vel_x_l2,638,-0.0012417868711054325
model_681,Episode_Reward/ang_vel_x_l2,639,-0.0013342228485271335
model_681,Episode_Reward/ang_vel_x_l2,640,-0.0012143536005169153
model_681,Episode_Reward/ang_vel_x_l2,641,-0.001175468205474317
model_681,Episode_Reward/ang_vel_x_l2,642,-0.0011026099091395736
model_681,Episode_Reward/ang_vel_x_l2,643,-0.0010597365908324718
model_681,Episode_Reward/ang_vel_x_l2,644,-0.0009367924649268389
model_681,Episode_Reward/ang_vel_x_l2,645,-0.0010067680850625038
model_681,Episode_Reward/ang_vel_x_l2,646,-0.0009139015455730259
model_681,Episode_Reward/ang_vel_x_l2,647,-0.0009384885197505355
model_681,Episode_Reward/ang_vel_x_l2,648,-0.0007901781937107444
model_681,Episode_Reward/ang_vel_x_l2,649,-0.0008552446379326284
model_681,Episode_Reward/ang_vel_x_l2,650,-0.0008333996520377696
model_681,Episode_Reward/ang_vel_x_l2,651,-0.0008194500696845353
model_681,Episode_Reward/ang_vel_x_l2,652,-0.0008342345827259123
model_681,Episode_Reward/ang_vel_x_l2,653,-0.0007738089771009982
model_681,Episode_Reward/ang_vel_x_l2,654,-0.0007812739931978285
model_681,Episode_Reward/ang_vel_x_l2,655,-0.0007562502287328243
model_681,Episode_Reward/ang_vel_x_l2,656,-0.0007129579898901284
model_681,Episode_Reward/ang_vel_x_l2,657,-0.0007896260358393192
model_681,Episode_Reward/ang_vel_x_l2,658,-0.0007000599289312959
model_681,Episode_Reward/ang_vel_x_l2,659,-0.0007861850317567587
model_681,Episode_Reward/ang_vel_x_l2,660,-0.0008166676270775497
model_681,Episode_Reward/ang_vel_x_l2,661,-0.0007483544177375734
model_681,Episode_Reward/ang_vel_x_l2,662,-0.0007687465404160321
model_681,Episode_Reward/ang_vel_x_l2,663,-0.0007542629027739167
model_681,Episode_Reward/ang_vel_x_l2,664,-0.0007879573968239129
model_681,Episode_Reward/ang_vel_x_l2,665,-0.0007648887112736702
model_681,Episode_Reward/ang_vel_x_l2,666,-0.0008810961153358221
model_681,Episode_Reward/ang_vel_x_l2,667,-0.0007388554513454437
model_681,Episode_Reward/ang_vel_x_l2,668,-0.000751075625885278
model_681,Episode_Reward/ang_vel_x_l2,669,-0.0007404932985082269
model_681,Episode_Reward/ang_vel_x_l2,670,-0.0007255306700244546
model_681,Episode_Reward/ang_vel_x_l2,671,-0.0007635612273588777
model_681,Episode_Reward/ang_vel_x_l2,672,-0.0007920140633359551
model_681,Episode_Reward/ang_vel_x_l2,673,-0.0007555672200396657
model_681,Episode_Reward/ang_vel_x_l2,674,-0.0007473293808288872
model_681,Episode_Reward/ang_vel_x_l2,675,-0.0008329431875608861
model_681,Episode_Reward/ang_vel_x_l2,676,-0.0007832339033484459
model_681,Episode_Reward/ang_vel_x_l2,677,-0.000801360234618187
model_681,Episode_Reward/ang_vel_x_l2,678,-0.0007452867575921118
model_681,Episode_Reward/ang_vel_x_l2,679,-0.0007790387608110905
model_681,Episode_Reward/ang_vel_x_l2,680,-0.0007505425601266325
model_681,Episode_Reward/ang_vel_x_l2,681,-0.0007824317435733974
model_681,Episode_Reward/ang_vel_y_l2,602,-0.029803240671753883
model_681,Episode_Reward/ang_vel_y_l2,603,-0.031193779781460762
model_681,Episode_Reward/ang_vel_y_l2,604,-0.03515348583459854
model_681,Episode_Reward/ang_vel_y_l2,605,-0.030511867254972458
model_681,Episode_Reward/ang_vel_y_l2,606,-0.03696144372224808
model_681,Episode_Reward/ang_vel_y_l2,607,-0.02647404558956623
